journal,is_ling,x1_includes_pre_study_peer_review,x2_offers_provisional_pre_study_acceptance,x3_permanence_of_adoption,x4_offered_for_novel_studies,x5_offered_for_replication_studies,x6_offered_for_meta_analysis,x7_offered_for_analyses_of_existing_data_sets,x8_publishes_registered_reports_only,x9_allows_reporting_of_unregistered_analyses,x10_includes_post_study_peer_review,x11_allows_inclusion_of_unregistered_pilot_studies,x12_requires_public_data_deposition,x13_specifies_structured_criteria_for_editorial_decisions,x14_requires_submitted_protocols_to_have_prior_ethical_approval,x15_specifies_minimum_statistical_power_requirements,x16_will_publish_withdrawn_registrations,x17_publishes_accepted_protocols_in_full_or_part_prior_to_study_completion,x18_offers_incremental_sequential_registration,x19_offers_incremental_addition_of_unregistered_studies,x20_offered_for_qualitative_research,x21_requires_deposition_of_protocol_in_public_registry_following_stage_1_acceptance
Emerald Open Research,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA
Emerging Adulthood,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1
"Endocrinology, Diabetes & Metabolism",0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA,1
eNeuro,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Entrepreneurship Theory and Practice,0,1,1,Indefinite,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Environment International,0,1,1,Indefinite,NA,NA,1 (systematic reviews),1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA
Equine Veterinary Journal,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA
European Journal of Cancer Care,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1
European Journal of Neuroscience,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
European Journal of Personality,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1
European Journal of Psychological Assessment,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
European Journal of Psychotraumatology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1
Ethology,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evolution and Human Behavior,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,1,1,1,1
Evolutionary Human Sciences,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1
Exceptional Children,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Experimental Physiology,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Experimental Psychology,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1 (in part),NA,NA,NA,1
F1000Research,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
Fertility and Sterility,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1
Frontiers in Communication,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1
Frontiers in Communications and Networks,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frontiers in Computer Science,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1
Frontiers in Education,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1
Frontiers in Genetics,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1
Frontiers in Neuroscience,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1
Frontiers in Nutrition,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1
Frontiers in Plant Science,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1
Frontiers in Psychiatry,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1
Frontiers in Psychology,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1
Frontiers in Sociology,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1
Frontiers in Sports and Active Living,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1
Frontiers in Virtual Reality,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1
Gates Open Research,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
Gesture,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,NA
Gifted Child Quarterly,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,NA,1,NA,NA,1
Glossa Psycholinguistics,1,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Health Psychology and Behavioral Medicine,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Health Psychology Bulletin,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,1 (in full),NA,NA,NA,NA
HRB Open Research,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1
Human Behavior and Emerging Technologies,0,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Human Movement Science,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA
Human Resource Management Journal,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
"Immunity, Inflammation and Disease",0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,1,1,1,1,NA,NA,1
Infancy,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1
Infant and Child Development,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,1
Infant Behavior and Development,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Interactive Journal of Medical Research,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
Interdisciplinary Perspectives on the Built Environment,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
International Journal of Eating Disorders,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
International Journal of Psychophysiology,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA
International Journal of Selection and Assessment,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
International Review of Social Psychology,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1
i-Perception,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Japanese Journal of Political Science,0,1,1,Indefinite,1,"1 (using ""replication or reanalysis"" format)",1,1,NA,1,1,1,1,NA,NA,NA,1,NA,1,1,1,NA
JMIR Aging,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Bioinformatics and Biotechnology,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Biomedical Engineering,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Cancer,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Cardio,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Challenges,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Dermatology,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Diabetes,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Formative Research,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Human Factors,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Medical Education,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Medical Informatics,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Mental Health,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR mHealth and uHealth,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Nursing,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Pediatrics and Parenting,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Perioperative Medicine,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Public Health and Surveillance,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Rehabilitation and Assistive Technologies,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
JMIR Serious Games,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
Journal for Reproducibility in Neuroscience,0,1,1,Indefinite - Submission via PCI Registered Reports,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,NA,NA,1
Journal for the Education of the Gifted,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Advanced Academics,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Journal of Child Language,1,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1
Journal of Clinical Medicine,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA
Journal of Clinical Nursing,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,1,NA,NA,1
Journal of Cognition,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Journal of Cognition and Development,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,1
Journal of Cognitive Enhancement ,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Cognitive Neuroscience,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1
Journal of Cognitive Psychology,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Journal of Individual Differences,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Development Economics,0,1,1,Indefinite,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1
Journal of Educational Psychology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1
Journal of European Psychology Students,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA
Journal of Evidence-Based Healthcare,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Journal of Experimental Political Science,0,1,1,Indefinite,1,1,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,1
"Journal of Experimental Psychology: Learning, Memory, and Cognition",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journal of Experimental Social Psychology,0,1,1,Indefinite,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA
Journal of Illusion,0,1,1,Indefinite,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
Journal of Integrated Security and Safety Science,0,1,1,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Journal of Media Psychology,0,1,1,Indefinite,1,1,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA
Journal of Medical Internet Research (JMIR),0,1,1,Indefinite,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1 (fully published in JMIR Protocols),1,1,NA,NA
