journal,is_ling
"Mind, Brain and Education",0
MNI Open Research,0
Music Perception,0
Nature,0
Nature Communications,0
Nature Human Behaviour,0
NC3RS Gateway,0
Neurobiology of Language,1
NeuroImage Reports,0
Neuropsychopharmacology Reports,0
Neuroscience of Consciousness,0
NFS Journal,0
Nicotine & Tobacco Research,0
Nursing Reports,0
Open Psychology,0
Open Research Europe,0
Oxford Open Economics,0
Paediatric and Neonatal Pain,0
PCI Ecology,0
PCI Registered Reports,0
PeerJ Analytical Chemistry,0
PeerJ Computer Science,0
PeerJ Inorganic Chemistry,0
PeerJ Life & Environment,0
PeerJ Materials Science ,0
PeerJ Organic Chemistry,0
Perception,0
Personality Science,0
Plant Direct,0
PLOS Biology,0
PLOS ONE,0
PNAS Nexus,0
Politics and the Life Sciences,0
Psicológica,0
Psychological Assessment,0
Psychological Science,0
Psychological Test Adaptation and Development,0
Psychology and Marketing,0
"Psychology and Psychotherapy: Theory, Research and Practice",0
Psychology & Health,0
Psychology of Addictive Behaviors,0
Psychology of Sport and Exercise,0
Psychology & Sexuality,0
Psychonomic Bulletin & Review,0
Psycho-Oncology,0
Psychophysiology,0
Q Open,0
Quality of Life Research,0
Quarterly Journal of Experimental Psychology,0
Research & Politics,0
Royal Society Open Science,0
Second Language Research,1
Science and Medicine in Football,0
Scientific Reports,0
Scientific Studies of Reading,0
Social Influence,0
Social Psychological Bulletin,0
Stress and Health,0
Studia Psychologica,0
Swiss Psychology Open,0
"Technology, Mind, and Behavior",0
The International Journal for the Psychology of Religion,0
The Journal of Sex Research ,0
The Leadership Quarterly,0
The Review of Corporate Finance Studies,0
Wellcome Open Research,0
"Work, Aging and Retirement",0
Zeitschrift für Bildungsforschung,0
Adaptive Behaviour and Human Physiology,0
AERA Open,0
American Journal of Political Science,0
American Political Science Review,0
American Politics Research,0
Child Development,0
Comparative Political Studies,0
Computer Science Education,0
eLife,0
European Journal of Social Psychology,0
Experimental Economics,0
Frontiers in Psychology | Cognition,0
Journal of Accounting Research,0
Journal of Business and Psychology,0
Journal of Business Ethics,0
Journal of Computer Assisted Learning,0
Journal of Economic Psychology,0
Journal of Memory and Language,1
Learning Disabilities Quarterly,0
Media and Communication,0
NeuroImage,0
Pacific-Basin Finance Journal,0
PeerJ,0
Personal Relationships,0
Perspectives on Psychological Science,0
PLOS ONE,0
Political Analysis,0
Political Behavior,0
Political Science Quarterly,0
Political Science Research and Methods,0
Politics and the Life Sciences,0
Public Opinion Quarterly,0
Social Psychology,0
State Politics and Policy Quarterly,0
The Review of Financial Studies,0
Zeitschrift für Psychologie,0
Communication Methods and Measures,0
Journal of Experimental Psychology: General,0
