...1,Return to the Registered Reports page at the COS,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22
Business & Information Systems Engineering: Human Computer Interaction and Social Computing,✓,✓,Indefinite,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Campbell Systematic Reviews,✓,✓,Indefinite,NA,NA,✓,✓,✓,NA,✓,✓,NA,✓,NA,NA,NA,NA,NA,NA,NA,✓
Canadian Journal of Experimental Psychology,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,NA,✓,NA,NA,NA,NA,NA,NA,✓
Canadian Journal of School Psychology,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,✓,NA,NA,✓,NA,NA,NA,NA,✓
Cancers,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,NA,✓,✓,NA,NA,NA
Cancer Medicine,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,NA,✓,NA,NA,✓
Cancer Reports,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,NA,✓,✓,✓,✓,NA,NA,✓
Cardiology Cases and Systematic Reviews,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Child Development,✓,✓,Special issue only (x2),✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,NA,✓,NA,✓,NA,NA,✓
Clinical Endocrinology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,NA,NA,✓
Clinical Otolaryngology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,NA,✓,NA,NA,✓
Clinical Psychology in Europe,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,✓
Clocks & Sleep,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Cochrane Reviews,✓,✓,Indefinite,NA,NA,✓,✓,✓,NA,✓,✓,NA,✓,NA,NA,✓,NA,NA,NA,NA,✓
Cogent Psychology,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Cognition & Emotion,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,✓,NA,✓,✓,NA,NA,NA,NA,NA
Cognitive Linguistics,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,NA,NA,✓
Cognitive Research: Principles and Implications,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA,NA,NA,NA
Collabra: Psychology,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Communication Research Reports,✓,✓,Indefinite,✓,✓,✓,NA,NA,✓,✓,✓,NA,✓,NA,NA,NA,NA,NA,✓,NA,NA
Comparative Political Studies,✓,✓,Special issue only,✓,✓,✓,✓,NA,✓,✓,NA,✓,NA,NA,NA,NA,NA,✓,✓,NA,NA
Comprehensive Results in Social Psychology,✓,✓,Indefinite,✓,✓,✓,✓,✓,✓,✓ (discretionary),✓,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA
Computational Communication Research,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Computational Psychiatry,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Computer Science Education,✓,✓,Special issue only,NA,✓,NA,NA,NA,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,✓,NA
Consciousness and Cognition,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,✓,✓,NA,✓,NA,NA,NA,NA,NA
Conservation Biology,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,✓,✓,NA,NA,NA,NA,NA,NA,✓
Cortex,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,"✓
Note: journal also sets α=.02",✓,NA,✓,NA,NA,✓
Crisis,✓,✓,Indefinite,✓,✓,TBA,TBA,TBA,✓,✓,TBA,TBA,TBA,TBA,TBA,TBA,NA,TBA,TBA,TBA,✓
Developmental Cognitive Neuroscience,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Developmental Science,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA,NA,✓
Discover Chemical Engineering,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,NA,NA,✓,✓,NA,NA,NA,NA,✓
Discover Energy,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,NA,NA,✓,✓,NA,NA,NA,NA,✓
Discover Internet of Things,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,NA,NA,✓,✓,NA,NA,NA,NA,✓
Discover Materials,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,NA,NA,✓,✓,NA,NA,NA,NA,✓
Discover Oncology,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,NA,NA,✓,✓,NA,NA,NA,NA,✓
Discover Social Science and Health,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,NA,NA,✓,✓,NA,NA,NA,NA,✓
Discover Sustainability,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,NA,NA,✓,✓,NA,NA,NA,NA,✓
Discover Water,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,NA,NA,✓,✓,NA,NA,NA,NA,✓
Discourse Processes,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Drug and Alcohol Dependence,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,NA
Ecological Solutions and Evidence,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,✓,NA,NA,✓,✓,✓,NA,NA,NA
Ecology and Evolution,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,NA,✓,NA,✓,✓,✓,✓
eLife,✓,✓,Special Issue RP:CB only,NA,✓,NA,NA,NA,✓,✓,NA,✓,✓,✓,✓,NA,✓,NA,NA,NA,NA
Emerald Open Research,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,NA,✓,✓,✓,✓,NA,NA,NA
Emerging Adulthood,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,✓,NA,NA,NA,NA,NA,NA,✓,✓
"Endocrinology, Diabetes & Metabolism",✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,NA,NA,✓
eNeuro,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
Entrepreneurship Theory and Practice,✓,✓,Indefinite,✓,✓,NA,NA,NA,NA,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Environment International,✓,✓,Indefinite,NA,NA,✓ (systematic reviews),✓,NA,NA,✓,NA,NA,✓,NA,NA,NA,✓,NA,NA,✓,NA
Equine Veterinary Journal,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,NA,NA,NA,✓,NA,NA,NA,NA
European Journal of Cancer Care,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,NA,✓,NA,NA,✓
European Journal of Neuroscience,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,✓
European Journal of Personality,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA,NA,✓
European Journal of Psychological Assessment,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,NA,NA,NA,NA,NA,✓,NA,NA,NA,NA,✓
European Journal of Psychotraumatology,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,NA,✓,NA,NA,✓
European Journal of Social Psychology,✓,✓,Indefinite,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA
Evolution and Human Behavior,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,NA,✓,NA,NA,NA,✓,✓,✓,✓
Evolutionary Human Sciences,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,NA,✓,NA,✓,NA,NA,✓
Exceptional Children,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Experimental Economics,✓,✓,Special issue only,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Experimental Physiology,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Experimental Psychology,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,✓,NA,NA,NA,✓ (in part),NA,NA,NA,✓
F1000Research,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA
Fertility and Sterility,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,NA,NA,NA,✓,✓,NA,NA,NA,NA,NA,✓
Frontiers in Cognition (a),✓,✓,Special issue only,✓,NA,NA,NA,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,NA
Frontiers in Cognition (b),✓,✓,Special issue only,NA,✓,NA,NA,NA,✓,✓,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frontiers in Communication,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,NA,NA,NA,✓,NA,NA,NA,NA,✓
Frontiers in Communication and Networks,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,NA,NA,NA,✓,NA,NA,NA,NA,✓
Frontiers in Computer Science,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,NA,NA,NA,✓,NA,NA,NA,NA,✓
Frontiers in Education,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,NA,NA,NA,✓,NA,NA,NA,NA,✓
Frontiers in Genetics,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,NA,NA,NA,✓,NA,NA,NA,NA,✓
Frontiers in Neuroscience,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,NA,NA,NA,✓,NA,NA,NA,NA,✓
Frontiers in Nutrition,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,NA,NA,NA,✓,NA,NA,NA,NA,✓
Frontiers in Plant Science,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,NA,NA,NA,✓,NA,NA,NA,NA,✓
Frontiers in Psychology,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,NA,NA,NA,✓,NA,NA,NA,NA,✓
Frontiers in Psychiatry,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,NA,NA,NA,✓,NA,NA,NA,NA,✓
Frontiers in Sociology,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,NA,NA,NA,✓,NA,NA,NA,NA,✓
Frontiers in Sports and Active Living,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,NA,NA,NA,✓,NA,NA,NA,NA,✓
Frontiers in Virtual Reality,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,NA,NA,NA,✓,NA,NA,NA,NA,✓
Gates Open Research,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA
Gesture,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,NA
Gifted Child Quarterly,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,NA,✓,NA,NA,✓
Glossa Psycholinguistics,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Health Psychology Bulletin,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,✓,NA,NA,NA,✓ (in full),NA,NA,NA,NA
HRB Open Research,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,✓
Human Behavior and Emerging Technologies,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Human Movement Science,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,NA
Human Resource Management Journal,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
i-Perception,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,✓
"Immunity, Inflammation and Disease",✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,NA,NA,✓
Infancy,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,✓,NA,NA,NA,NA,NA,NA,NA,✓
Infant and Child Development,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,✓,NA,NA,✓,NA,NA,NA,✓
Infant Behaviour and Development,✓,✓,Indefinite,✓,✓,NA,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,NA
Interactive Journal of Medical Research,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
International Journal of Eating Disorders,✓,✓,Indefinite,✓,✓,NA,NA,NA,✓,✓,✓,NA,NA,NA,NA,NA,NA,NA,NA,NA,✓
International Journal of Psychophysiology,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,✓,NA,NA,NA
International Journal of Selection and Assessment,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
Interdisciplinary Perspectives on the Built Environment,✓,✓,Indefinite,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
International Review of Social Psychology,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,✓,✓,✓,✓,✓,NA,NA,NA,NA,✓
Japanese Journal of Political Science,✓,✓,Indefinite,✓,"✓ (using ""replication or reanalysis"" format)",✓,✓,NA,✓,✓,✓,✓,NA,NA,NA,✓,NA,✓,✓,✓,NA
JMIR Aging,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Bioinformatics and Biotechnology,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Biomedical Engineering,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Cancer,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Cardio,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Challenges,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Data,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Dermatology,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Diabetes,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Formative Research,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Human Factors,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Medical Education,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Medical Informatics,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Mental Health,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR mHealth and uHealth,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Nursing,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Pediatrics and Parenting,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Perioperative Medicine,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Preprints,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
JMIR Public Health and Surveillance,✓,✓,Indefinite,✓,✓,✓,✓,NA,✓,✓,✓,NA,NA,NA,NA,NA,✓ (fully published in JMIR Protocols),✓,✓,NA,NA
